hall_ticket,course_code,grade,result,credits,semester,grade_points
121423408001,DM-5-CS-22T,O,PASS,5,SEMESTER-V,10
121423408001,IM-5-BM-22T,O,PASS,5,SEMESTER-V,10
121423408001,HRD-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408001,BATP-5-BM-22T,O,PASS,5,SEMESTER-V,10
121423408001,FA.5.MC.22T,O,PASS,4,SEMESTER-V,10
121423408001,AWS-5-CS-25T,O,PASS,2,SEMESTER-V,10
121423408002,DM-5-CS-22T,O,PASS,5,SEMESTER-V,10
121423408002,MOS-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408002,IF-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408002,BATP-5-BM-22T,O,PASS,5,SEMESTER-V,10
121423408002,CS.5.CS.22T,A+,PASS,4,SEMESTER-V,9
121423408002,AWS-5-CS-25T,A+,PASS,2,SEMESTER-V,9
121423408003,DM-5-CS-22T,A+,PASS,5,SEMESTER-V,9
121423408003,DSM-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408003,IM-5-BM-22T,A,PASS,5,SEMESTER-V,8
121423408003,BATP-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408003,SM.5.PY.22T,A+,PASS,4,SEMESTER-V,9
121423408003,AWS-5-CS-25T,A,PASS,2,SEMESTER-V,8
121423408004,DM-5-CS-22T,A,PASS,5,SEMESTER-V,8
121423408004,DSM-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408004,IM-5-BM-22T,A,PASS,5,SEMESTER-V,8
121423408004,BATP-5-BM-22T,A,PASS,5,SEMESTER-V,8
121423408004,PC.5.PY.22T,B,PASS,4,SEMESTER-V,6
121423408004,AWS-5-CS-25T,A,PASS,2,SEMESTER-V,8
121423408005,DM-5-CS-22T,A+,PASS,5,SEMESTER-V,9
121423408005,DSM-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408005,IM-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408005,BATP-5-BM-22T,O,PASS,5,SEMESTER-V,10
121423408005,PC.5.PY.22T,A,PASS,4,SEMESTER-V,8
121423408005,AWS-5-CS-25T,A+,PASS,2,SEMESTER-V,9
121423408006,DM-5-CS-22T,A+,PASS,5,SEMESTER-V,9
121423408006,DSM-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408006,IM-5-BM-22T,A,PASS,5,SEMESTER-V,8
121423408006,BATP-5-BM-22T,A+,PASS,5,SEMESTER-V,9
121423408006,FA.5.MC.22T,A+,PASS,4,SEMESTER-V,9
121423408006,AWS-5-CS-25T,O,PASS,2,SEMESTER-V,10
