course_code,passed,total_enrolled,avg_grade_points,pass_rate,fail_count,course_title
ASP-5-BM-22T,10,10,8.1,100.0,0,ADVERTISING AND SALES PROMOTION
AWS-5-CS-25T,54,55,7.927272727272728,98.18,1,AWS FUNDAMENTALS AND CLOUD STORAGE (SEC)
BATP-5-BM-22T,54,55,8.272727272727273,98.18,1,BUSINESS ANALYTICS WITH TABLEAU & POWER BI
CS.5.CS.22T,13,14,7.642857142857143,92.86,1,CYBER SECURITY
DM-5-CS-22T,54,55,8.454545454545455,98.18,1,DIGITAL MARKETING
DSM-5-BM-22T,30,30,8.466666666666667,100.0,0,DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT
FA.5.MC.22T,12,12,8.666666666666666,100.0,0,FILM APPRECIATION
HRD-5-BM-22T,13,14,7.214285714285714,92.86,1,HRD: SYSTEMS AND STRATEGIES
IF-5-BM-22T,8,9,7.111111111111111,88.89,1,INTERNATIONAL FINANCE
IKS.SL.5.25T,1,4,1.25,25.0,3,INDIAN KNOWLEDGE SYSTEM (IKS)
IM-5-BM-22T,34,34,7.764705882352941,100.0,0,INVESTMENT MANAGEMENT
MOS-5-BM-22T,7,7,7.714285714285714,100.0,0,MARKETING OF SERVICES
PC.5.PY.22T,10,10,6.6,100.0,0,PSYCHOLOGICAL COMPETENCIES
SM.5.PY.22T,15,15,8.066666666666666,100.0,0,STRESS MANAGEMENT AND WELL BEING
TD-5-BM-22T,6,6,8.333333333333334,100.0,0,TRAINING AND DEVELOPMENT
