course_code,course_title,credits
ASP-5-BM-22T,ADVERTISING AND SALES PROMOTION,5
AWS-5-CS-25T,AWS FUNDAMENTALS AND CLOUD STORAGE (SEC),2
BATP-5-BM-22T,BUSINESS ANALYTICS WITH TABLEAU & POWER BI,5
CS.5.CS.22T,CYBER SECURITY,4
DM-5-CS-22T,DIGITAL MARKETING,5
DSM-5-BM-22T,DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT,5
FA.5.MC.22T,FILM APPRECIATION,4
HRD-5-BM-22T,HRD: SYSTEMS AND STRATEGIES,5
IF-5-BM-22T,INTERNATIONAL FINANCE,5
IKS.SL.5.25T,INDIAN KNOWLEDGE SYSTEM (IKS),4
IM-5-BM-22T,INVESTMENT MANAGEMENT,5
MOS-5-BM-22T,MARKETING OF SERVICES,5
PC.5.PY.22T,PSYCHOLOGICAL COMPETENCIES,4
SM.5.PY.22T,STRESS MANAGEMENT AND WELL BEING,4
TD-5-BM-22T,TRAINING AND DEVELOPMENT,5
