course_code,course_title,total_enrolled,avg_grade_points,excellent_count,excellence_rate
FA.5.MC.22T,FILM APPRECIATION,12,8.67,8,66.67
DSM-5-BM-22T,DISTRIBUTION AND SUPPLY CHAIN MANAGEMENT,30,8.47,19,63.33
DM-5-CS-22T,DIGITAL MARKETING,55,8.45,28,50.91
TD-5-BM-22T,TRAINING AND DEVELOPMENT,6,8.33,2,33.33
BATP-5-BM-22T,BUSINESS ANALYTICS WITH TABLEAU & POWER BI,55,8.27,27,49.09
ASP-5-BM-22T,ADVERTISING AND SALES PROMOTION,10,8.1,3,30.0
SM.5.PY.22T,STRESS MANAGEMENT AND WELL BEING,15,8.07,6,40.0
AWS-5-CS-25T,AWS FUNDAMENTALS AND CLOUD STORAGE (SEC),55,7.93,23,41.82
IM-5-BM-22T,INVESTMENT MANAGEMENT,34,7.76,9,26.47
MOS-5-BM-22T,MARKETING OF SERVICES,7,7.71,2,28.57
CS.5.CS.22T,CYBER SECURITY,14,7.64,6,42.86
HRD-5-BM-22T,HRD: SYSTEMS AND STRATEGIES,14,7.21,4,28.57
IF-5-BM-22T,INTERNATIONAL FINANCE,9,7.11,3,33.33
PC.5.PY.22T,PSYCHOLOGICAL COMPETENCIES,10,6.6,1,10.0
IKS.SL.5.25T,INDIAN KNOWLEDGE SYSTEM (IKS),4,1.25,0,0.0
